Year,Stat,Player,Team,Value
1901,Wins,Cy Young,Boston,33
1901,ERA,Cy Young,Boston,1.62
1902,Wins,Cy Young,Boston,32
1902,ERA,Ed Siever,Detroit,1.91
1903,Wins,Cy Young,Boston,28
1903,ERA,Earl Moore,Cleveland,1.74
1904,Wins,Jack Chesbro,New York,41
1904,ERA,Addie Joss,Cleveland,1.59
1905,Wins,Rube Waddell,Philadelphia,27
1905,ERA,Rube Waddell,Philadelphia,1.48
1906,Wins,Al Orth,New York,27
1906,ERA,Doc White,Chicago,1.52
1907,Wins,Addie Joss,Cleveland,27
1907,ERA,Ed Walsh,Chicago,1.60
1908,Wins,Ed Walsh,Chicago,40
1908,ERA,Addie Joss,Cleveland,1.16
1909,Wins,George Mullin,Detroit,29
1909,ERA,Harry Krause,Philadelphia,1.39
1910,Wins,Jack Coombs,Philadelphia,31
1910,ERA,Ed Walsh,Chicago,1.27
1911,Wins,Jack Coombs,Philadelphia,28
1911,ERA,Vean Gregg,Cleveland,1.80
1912,Wins,Smoky Joe Wood,Boston,34
1912,ERA,Walter Johnson,Washington,1.39
1913,Wins,Walter Johnson,Washington,36
1913,ERA,Walter Johnson,Washington,1.14
1914,Wins,Walter Johnson,Washington,28
1914,ERA,Dutch Leonard,Boston,0.96
1915,Wins,Walter Johnson,Washington,27
1915,ERA,Smoky Joe Wood,Boston,1.49
1916,Wins,Walter Johnson,Washington,25
1916,ERA,Babe Ruth,Boston,1.75
1917,Wins,Eddie Cicotte,Chicago,28
1917,ERA,Eddie Cicotte,Chicago,1.53
1918,Wins,Walter Johnson,Washington,23
1918,ERA,Walter Johnson,Washington,1.27
1919,Wins,Eddie Cicotte,Chicago,29
1919,ERA,Walter Johnson,Washington,1.49
1920,Wins,Jim Bagby,Cleveland,31
1920,ERA,Bob Shawkey,New York,2.45
1921,Wins,Carl Mays,New York,27
1921,ERA,Red Faber,Chicago,2.48
1922,Wins,Eddie Rommel,Philadelphia,27
1922,ERA,Red Faber,Chicago,2.81
1923,Wins,George Uhle,Cleveland,26
1923,ERA,Stan Coveleski,Cleveland,2.76
1924,Wins,Walter Johnson,Washington,23
1924,ERA,Walter Johnson,Washington,2.72
1925,Wins,Ted Lyons,Chicago,21
1925,ERA,Stan Coveleski,Washington,2.84
1926,Wins,George Uhle,Cleveland,27
1926,ERA,Lefty Grove,Philadelphia,2.51
1927,Wins,Waite Hoyt,New York,22
1927,ERA,Wilcy Moore,New York,2.28
1928,Wins,Lefty Grove,Philadelphia,24
1928,ERA,Garland Braxton,Washington,2.51
1929,Wins,George Earnshaw,Philadelphia,24
1929,ERA,Lefty Grove,Philadelphia,2.81
1930,Wins,Lefty Grove,Philadelphia,28
1930,ERA,Lefty Grove,Philadelphia,2.54
1931,Wins,Lefty Grove,Philadelphia,31
1931,ERA,Lefty Grove,Philadelphia,2.06
1932,Wins,Alvin Crowder,Washington,26
1932,ERA,Lefty Grove,Philadelphia,2.84
1933,Wins,Lefty Grove,Philadelphia,24
1933,ERA,Monte Pearson,Cleveland,2.33
1934,Wins,Lefty Gomez,New York,26
1934,ERA,Lefty Gomez,New York,2.33
1935,Wins,Wes Ferrell,Boston,25
1935,ERA,Lefty Grove,Boston,2.70
1936,Wins,Tommy Bridges,Detroit,23
1936,ERA,Lefty Grove,Philadelphia,2.81
1937,Wins,Lefty Gomez,New York,21
1937,ERA,Lefty Gomez,New York,2.33
1938,Wins,Red Ruffing,New York,21
1938,ERA,Lefty Grove,Boston,3.08
1939,Wins,Bob Feller,Cleveland,24
1939,ERA,Lefty Grove,Boston,2.54
1940,Wins,Bob Feller,Cleveland,27
1940,ERA,Bob Feller,Cleveland,2.61
1941,Wins,Bob Feller,Cleveland,25
1941,ERA,Thornton Lee,Chicago,2.37
